,rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees,profited,rank_change
664,665,BlueLinx Holdings,4277.2,38.1,296.1,266.1,1317.5,699.5,62,2045,1,0
666,667,Maximus,4254.5,22.9,291.2,35.8,4119.0,4641.1,10,35800,1,0
668,669,Hub Group,4232.4,21.1,171.5,133.1,2437.3,2678.5,2,4700,1,0
670,670,Bread Financial Holdings,4230.0,-6.4,801.0,274.8,21746.0,2804.6,-101,6000,1,1
671,672,Weis Markets,4224.4,2.7,108.8,-8.5,1910.5,1921.1,-61,24000,1,1
672,673,Century Communities,4216.3,33.4,498.5,141.8,3496.9,1783.2,44,1600,1,0
673,674,Synopsys,4204.2,14.1,757.5,14.0,8752.3,51023.2,-23,16361,1,1
674,675,Brink's,4200.2,13.8,105.2,557.5,5566.7,3234.4,-25,73350,1,1
675,676,Lennox International,4194.1,15.4,464.0,30.2,2171.9,9447.2,-23,11000,1,1
676,677,Service Corp. International,4143.1,18.0,802.9,55.6,15691.2,10581.3,-7,20840,1,1
678,679,Timken,4132.9,17.6,369.1,29.7,5170.7,4539.6,-10,18029,1,1
681,682,CNO Financial Group,4122.2,7.9,441.0,46.1,36204.4,2945.7,-50,3350,1,1
683,684,Zoom Video Communications,4099.9,54.6,1375.6,104.6,7551.3,35066.3,126,6787,1,0
684,685,Patrick Industries,4078.1,64.0,224.9,131.7,2650.7,1408.2,159,11000,1,0
685,686,Paychex,4056.8,0.4,1097.5,-0.1,9227.2,49268.0,-69,15000,1,1
686,687,Atlas Air Worldwide Holdings,4030.8,25.5,493.3,36.9,6443.2,2523.4,21,4056,1,0
690,691,Qorvo,4015.3,24.0,733.6,119.4,7221.5,13456.4,14,8750,1,0
691,692,Catalent,3998.0,29.2,585.0,165.1,9112.0,19862.7,36,17300,1,0
692,693,Mercury General,3993.4,5.5,247.9,-33.8,6772.5,3045.4,-55,4300,1,1
693,694,AMN Healthcare Services,3984.2,66.4,327.4,363.3,3131.9,4796.1,168,3800,1,0
694,695,Tri Pointe Homes,3982.2,22.1,469.3,66.3,4336.2,2160.1,5,1390,1,0
695,696,ArcBest,3980.1,35.4,213.5,200.3,2112.7,1979.7,59,14000,1,0
696,697,Toro,3959.6,17.2,409.9,24.3,2936.1,8936.9,-10,10982,1,1
698,699,Align Technology,3952.6,59.9,772.0,-56.5,5942.1,34354.8,151,22540,1,0
699,700,loanDepot,3943.2,-11.3,113.5,-94.4,11812.3,1290.3,-117,11307,1,1
701,702,American Water Works,3930.0,4.1,1263.0,78.1,26075.0,30085.5,-62,6400,1,1
702,703,Matson,3925.3,64.7,927.4,380.3,3693.1,4927.5,163,4259,1,0
706,707,Sally Beauty Holdings,3875.0,10.3,239.9,111.8,2847.1,1720.5,-39,29000,1,1
707,708,Enovis,3854.3,25.5,71.7,68.1,8515.3,6419.3,29,16200,1,0
708,709,IAC/InterActiveCorp,3845.1,26.2,597.5,121.5,12300.3,9001.4,31,13200,1,0
709,710,Meritor,3833.0,25.9,199.0,-18.8,2938.0,2519.4,32,9600,1,0
710,711,Ventas,3828.0,0.9,49.0,-88.8,24717.8,24676.2,-77,434,1,1
712,713,Regal Rexnord,3810.3,31.1,209.9,10.9,10281.6,10002.1,50,30000,1,0
714,715,Clean Harbors,3805.6,21.0,203.2,50.7,5653.7,6073.8,6,18300,1,0
715,716,Pinnacle West Capital,3803.8,6.0,618.7,12.4,22003.2,8820.0,-59,5872,1,1
716,717,eXp World Holdings,3771.2,109.7,81.2,160.9,413.8,3149.3,-,1669,1,1
717,718,Mueller Industries,3769.3,57.2,468.5,235.9,1728.9,3100.4,143,5337,1,0
719,720,RH,3758.8,32.0,688.5,153.3,5540.5,7079.0,57,6100,1,0
720,721,EPAM Systems,3758.1,41.3,481.7,47.2,3523.2,16870.7,87,58824,1,0
721,722,M/I Homes,3745.9,23.0,396.9,65.4,3239.9,1262.2,19,1657,1,0
722,723,Generac Holdings,3737.2,50.4,550.5,57.0,4877.8,18960.3,122,9248,1,0
723,724,Mettler-Toledo International,3717.9,20.5,769.0,27.6,3326.8,31220.3,10,16700,1,0
725,726,Teradyne,3702.9,18.6,1014.6,29.4,3809.4,19202.6,-,5900,1,1
726,727,American Equity Investment Life Holding,3689.5,52.2,474.0,-29.4,78349.1,3869.2,130,850,1,0
727,728,Southwest Gas Holdings,3680.5,11.6,200.8,-13.6,12765.3,5233.6,-30,12720,1,1
729,730,Lamb Weston Holdings,3670.9,-3.2,317.8,-13.1,4209.4,8699.1,-95,7800,1,1
730,731,Alliant Energy,3669.0,7.4,659.0,7.3,18553.0,15670.6,-51,3313,1,1
731,732,Resolute Forest Products,3664.0,30.9,307.0,2970.0,3538.0,991.7,51,6900,1,0
732,733,Parsons,3660.8,-6.6,64.1,-35.0,3830.9,4012.0,-108,15500,1,1
733,734,Trimble,3659.1,16.2,492.7,26.4,7099.6,18122.7,-14,11931,1,1
736,737,Winnebago Industries,3629.8,54.1,281.9,358.8,2062.6,1770.9,140,6532,1,0
737,738,Ciena,3620.7,2.5,500.2,38.4,4865.2,9223.4,-72,7205,1,1
738,739,PriceSmart,3619.9,8.7,98.0,25.4,1705.8,2434.1,-45,10400,1,1
742,743,Super Micro Computer,3557.4,6.5,111.9,32.7,2242.0,1963.0,-50,4155,1,1
743,744,Flowserve,3541.1,-5.0,125.9,-3.4,4749.8,4681.4,-101,16000,1,1
744,745,Charles River Laboratories International,3540.2,21.1,391.0,7.3,7024.3,14425.4,15,19300,1,0
745,746,A.O. Smith,3538.9,22.2,487.1,41.2,3474.4,10032.2,21,13700,1,0
749,750,Valmont Industries,3501.6,20.9,195.6,39.0,3447.2,5083.4,16,11041,1,0
750,751,Sprague Resources,3498.2,49.8,-68.9,-303.8,1418.3,433.7,135,757,0,0
751,752,Primoris Services,3497.6,0.2,115.6,10.1,2543.3,1269.8,-79,10810,1,1
752,753,Cboe Global Markets,3494.8,2.0,529.0,13.0,6814.5,12148.2,-74,1196,1,1
753,754,Carter's,3486.4,15.3,339.7,209.7,3201.8,3763.4,-9,15900,1,1
